timestamp,sensor_id,pressure_psi,temperature_c,status
2026-09-04 00:00:00,PUMP-01,84.2,41.5,OK
2026-09-04 01:00:00,PUMP-02,120.3,55.6,OK
2026-09-04 02:00:00,PUMP-01,-12.0,41.1,OK
2026-09-04 03:00:00,PUMP-02,118.7,54.9,OK
2026-09-04 04:00:00,PUMP-01,86.4,43.2,WARN
2026-09-04 05:00:00,PUMP-02,999.5,56.1,OK
2026-09-04 06:00:00,PUMP-01,84.9,41.8,OK
2026-09-04 07:00:00,PUMP-02,119.8,55.3,OK
2026-09-04 08:00:00,,122.4,57.0,WARN
2026-09-04 09:00:00,PUMP-02,120.9,55.8,ERROR
2026-09-04 09:00:00,PUMP-01,85.6,42.4,OK
2026-09-04 10:00:00,PUMP-02,80.0,40.0,OK
